video_id,sadness,fear,joy,surprise,neutral,disgust,anger
0N-8LPlQQsc,0.37751706484641634,0.19752525597269627,0.138780204778157,0.1473972696245734,0.10408515358361775,0.03469505119453925,0.0
0ATYtmPVtjo,0.3006429912390488,0.33272841051314145,0.010425531914893617,0.3092662703379224,0.010425531914893617,0.026063829787234045,0.010425531914893617
0PmoiC8ensA,0.18174133254716981,0.3209551886792453,0.10606544811320756,0.29864817216981127,0.0443402712264151,0.023789327830188677,0.024421933962264154
0wVhCCo02P4,0.23979256390395043,0.30455003872966696,0.06850092951200622,0.2698275755228505,0.04980534469403565,0.021339349341595662,0.04617745933384973
-C-xXZyX2zU,0.3032805617977528,0.3604806179775281,0.00955365168539326,0.3154091011235955,0.006404775280898876,0.0019659550561797754,0.0029129213483146065
0UD2gbjB3vw,0.4086487372608259,0.28623759073514604,0.04175232185297081,0.21296332054380662,0.027036617019133943,0.00776250241691843,0.015656272708962738
0zua8vbLLqU,0.20367647058823526,0.39173361344537816,0.008091316526610645,0.3884072829131653,0.006068487394957984,0.0020228291316526613,0.0
0lXmuXVGidY,0.36737125343037247,0.3477214733048466,0.004553835890593729,0.27412461816137873,0.00318025350233489,0.0010837224816544362,0.001971214142761841
0QWM_Kni6l0,0.3652555555555555,0.34230124444444443,0.012177777777777777,0.2653990666666666,0.007038266666666665,0.005193088888888888,0.002635
0uIWGOKW5OM,0.36154807833058167,0.33650560713860184,0.015911570866878864,0.26271874138312534,0.009573019182652211,0.007870964749536179,0.005872581317764804
0pVkiod6V0U,0.6202637065637066,0.2440653153153153,0.04266486486486486,0.06781525096525096,0.0025425997425997425,0.020980051480051484,0.0016722651222651223
-4STNypFBh0,0.2515847080629375,0.34728998745339124,0.030542218795851207,0.33970997473491105,0.013023415934102712,0.014373741223253652,0.003475456318443244
0ZDXDvlpu6I,0.2397042345276873,0.3153116212812161,0.08488939370249728,0.27781350792616716,0.054832809771986984,0.020988108143322474,0.00645114332247557
02Yy1vihIKs,0.5668887465392756,0.2718986226194412,0.03031499408613029,0.10394830726789088,0.010663173494348513,0.010143489067977423,0.006141471155285552
-2cRY4p7KIk,0.27037462891101643,0.34772857995274736,0.041335705732805206,0.3082690706885963,0.02353872828107024,0.008227303366417353,0.0005193250538363963
0hy54CpKeqk,0.3806897574819401,0.31343690866873064,0.04300518588751289,0.22497614873581012,0.023559349006707943,0.011920671052631579,0.0024078125
0IX3Imm4osM,0.30689452039800164,0.369993512068426,0.0006339514978601998,0.3218440645378519,0.0004754636233951498,0.00015848787446504995,0.0
0bYPk_kpYkk,0.23874987489574648,0.33493015012510435,0.04663083819849875,0.3188322768974146,0.029995850708924104,0.011449708090075061,0.0194057130942452
0poXFSvX0_4,0.24741151631477937,0.3528417946257198,0.037834932821497115,0.32405100767754325,0.028372984644913626,0.009448992322456813,3.891554702495202e-05
0kwpQG7k2zU,0.3175304804804804,0.35163515181848515,0.01869152485819153,0.29753867200533873,0.007607874541207873,0.004652952952952953,0.0023372205538872205
