video_id,sadness,fear,joy,anger,surprise,neutral,disgust
34Iy5xGfGjY,0.7330503896103897,0.24250525974025974,0.008722857142857143,0.003739025974025974,0.004518246753246753,0.006233246753246753,0.0012448051948051948
7b3MW4OtfvY,0.6491604477611941,0.2170087064676617,0.06654228855721393,0.0,0.034017412935323385,0.0,0.033271144278606966
-8VwH8U9s_0,0.7351796407185628,0.25404191616766464,0.0,0.0,0.010778443113772457,0.0,0.0
2q8tLmAK94E,0.745851409978308,0.2491594360086768,0.0021691973969631237,0.0,0.001735357917570499,0.0,0.0010845986984815619
5GYBHqOck2Q,0.5044706581374439,0.22947894289017343,0.0627766119460501,0.03635881680154142,0.12927708166987797,0.015612295876685934,0.022018092922286448
6hO3O7obKps,0.6680383663366336,0.2229888613861386,0.054300742574257425,0.0,0.027521658415841584,0.0,0.027150371287128713
8ARtkW32wbQ,0.5167205127125507,0.22937493044534413,0.06376372469635627,0.00407122,0.15049820979757086,0.0072536599999999994,0.028332802348178136
9rwmebBPPPE,0.7493392070484581,0.2501802162595114,0.0,0.0,0.0004805766920304366,0.0,0.0
2f7oMu80pJQ,0.3853955726660251,0.12894642284247673,0.2425402630734681,0.0,0.12184760988129613,0.0,0.12127013153673405
1l_dmxhynGw,0.7457140615793099,0.25116889229655187,0.0,0.0,0.003117046124138323,0.0,0.0
1rDkrZcFoY8,0.48175528340801044,0.17492137958075185,0.028477344670999157,0.006488220285476231,0.2745406653643672,0.009090860592591555,0.024716238902619824
36ZJpNJiR7I,0.6484415927168614,0.24679094005330565,0.007920747251930049,0.0002895560761152159,0.09179933363051644,0.00028568553891134533,0.004471617910327588
2tQ-pbQ7WYI,0.6051393819541357,0.26098177031044584,0.02308063594880639,8.928863450531479e-05,0.08923662735047953,0.016081112693411823,0.005390038382132095
7xM1xn_0Uac,0.712253532513181,0.2383708611599297,0.023615992970123022,0.0,0.013951616871704747,0.0,0.011807996485061511
6W5eUUqD7N4,0.4815818181818182,0.22703333333333334,0.19082246545454545,0.009036276363636363,0.06387246545454546,0.01810151515151515,0.009436276363636363
4rymCgMBYyQ,0.6234892617449664,0.2082771812080537,0.0,0.0,0.16823355704697984,0.0,0.0
9aqFUHttthE,0.7229103745695366,0.24150017900662252,0.0009904086754966889,0.0022637912582781456,0.031910318675496686,0.0002829739072847682,0.0001414869536423841
1Fv0XmyhGX4,0.7496048850574712,0.2501077586206897,0.0,0.0,0.0002873563218390805,0.0,0.0
8eqtl0ym1p8,0.47651086129353243,0.17325308258706468,0.16384472676616915,0.00095248,0.10112683263681592,0.0010967466666666668,0.08321452338308458
2EqD74K-Zbw,0.553771254672755,0.24950586952815834,0.04561350203957382,0.0056619466666666665,0.11996606940639269,0.005409520000000002,0.020080117686453576
2hBa1arMKKE,0.6768743488502135,0.22649470568286753,0.025289269912759652,0.018259062017965733,0.032943104361356626,0.016075241204757635,0.004086983453535326
